GLC 201,20
NMH 411,20
NTH 211,20
NTH 215,20
NTH 217,20
NTH 220,20
NTH 414,20
GLC 101,22
GLC 106,22
GLC 301,22
GLC 302,22
GLC 304,22
GLC 202,25
GLC 204,25
GLC 303,25
GLC 305,25
HDH 419,25
NMH 202,30
NMH 204,30
NMH 205B,30
NMH 206B,30
NMH 208,30
NMH 209,30
NMH 406,30
NTH 413,35
NTH 209A,38
HDH 324,40
HDH 326A,40
NMH 102B,40
NTH 113,40
NTH 115,40
NTH 118,40
NTH 120B,40
NTH 218,40
NTH 417,40
HCA 2F,45
HDH 402,45
HDH 403,45
HDH 424,45
OH 302,45
HDH 214,50
NMH 103A,50
NTH 212,50
NTH 411,50
NTH 412,50
OH 306,50
OH Media,50
ANH 304,60
HDH 303A,60
HDH 303B,60
HDH 320A,60
HDH 320B,60
HDH 323C,60
HDH 425B,60
NMH 104A,60
NMH 108,60
NMH 109,60
NMH 310,60
NTH 213,60
NTH 310,60
NTH 311,60
OH 420,60
OH 421,60
SU 104,60
NMH 207,65
NMH 110,70
NMH 402,70
NMH 404,70
NMH 405,70
NMH 410B,70
NMH 307,75
NMH 403,75
HCA 3F,80
HDH 318,80
NMH 105,80
NMH 107,80
NMH 309,80
NMH 410A,80
NTH 214,80
NTH 313,80
OH 305,80
OH 402,80
OH 403,80
ANH 313,90
OH 401,90
ANH 302,100
NMH 106,100
ANH 305,120
HDH 418B,120
OH 405,150
SU 101,190
ANH Auditorium,400
